function,args,kwargs
matplotlib.pyplot.matshow,data,cmap=**
matplotlib.pyplot.title,Original dataset,
matplotlib.pyplot.show,,
matplotlib.pyplot.matshow,data,cmap=**
matplotlib.pyplot.title,Shuffled dataset,
matplotlib.pyplot.show,,
matplotlib.pyplot.matshow,reordered_data,cmap=**
matplotlib.pyplot.title,After biclustering; rearranged to show biclusters,
matplotlib.pyplot.show,,
matplotlib.pyplot.matshow,**,cmap=**
matplotlib.pyplot.title,Checkerboard structure of rearranged data,
matplotlib.pyplot.show,,
matplotlib.pyplot.matshow,data,cmap=**
matplotlib.pyplot.title,Original dataset,
matplotlib.pyplot.matshow,data,cmap=**
matplotlib.pyplot.title,Shuffled dataset,
matplotlib.pyplot.matshow,fit_data,cmap=**
matplotlib.pyplot.title,After biclustering; rearranged to show biclusters,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.colors.ListedColormap,**,
matplotlib.pyplot.subplot,"**, **, i",
matplotlib.pyplot,datasets,
matplotlib.pyplot.subplot,"**, **, i",
matplotlib.pyplot.subplot,classifiers,
matplotlib.pyplot,classifiers,
matplotlib.pyplot.plot,"features_samples_ratio, acc_clf1","color=gold, label=LDA, linestyle=solid, linewidth=2"
matplotlib.pyplot.plot,"features_samples_ratio, acc_clf2","color=navy, label=LDA with Ledoit Wolf, linestyle=dashed, linewidth=2"
matplotlib.pyplot.plot,"features_samples_ratio, acc_clf3","color=red, label=LDA with OAS, linestyle=dotted, linewidth=2"
matplotlib.pyplot.xlabel,n_features / n_samples,
matplotlib.pyplot.ylabel,Classification accuracy,
matplotlib.pyplot.legend,,loc=lower left
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.suptitle,**,
matplotlib.pyplot.show,,
matplotlib.colors.LinearSegmentedColormap,"red_blue_classes, **",
matplotlib.cm.register_cmap,,cmap=cmap
matplotlib.pyplot.figure,,"facecolor=white, figsize=**"
matplotlib.pyplot.suptitle,Linear Discriminant Analysis vs Quadratic Discriminant Analysis,"fontsize=15, y=0.98"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots_adjust,,top=0.92
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"2, 2, fig_index",
matplotlib.pyplot.scatter,"**, **","color=red, marker=."
matplotlib.pyplot.scatter,"**, **","color=#990000, marker=x, s=20"
matplotlib.pyplot.scatter,"**, **","color=blue, marker=."
matplotlib.pyplot.scatter,"**, **","color=#000099, marker=x, s=20"
matplotlib.pyplot.pcolormesh,"xx, yy, Z","cmap=red_blue_classes, norm=**, zorder=0"
matplotlib.pyplot.contour,"xx, yy, Z, **","colors=white, linewidths=2.0"
matplotlib.pyplot.plot,"**, **, *","color=yellow, markeredgecolor=grey, markersize=15"
matplotlib.pyplot.plot,"**, **, *","color=yellow, markeredgecolor=grey, markersize=15"
matplotlib.patches,"mean, **, **","angle=**, edgecolor=black, facecolor=color, linewidth=2"
matplotlib.artist.Artist.set_clip_box,**,
matplotlib.patches.Patch.set_alpha,0.2,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.title,Linear Discriminant Analysis,
matplotlib.pyplot.ylabel,"Data with
 fixed covariance",
matplotlib.pyplot.title,Quadratic Discriminant Analysis,
matplotlib.pyplot.ylabel,"Data with
 varying covariances",
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplots_adjust,,"bottom=0.2, top=0.95"
matplotlib.pyplot.axes,**,
matplotlib.pyplot.title,Probability,
matplotlib.pyplot.colorbar,imshow_handle,"cax=ax, orientation=horizontal"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"n_classifiers, n_classes, **",
matplotlib.pyplot.title,**,
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot,name,
matplotlib.pyplot.scatter,"**, **","c=w, edgecolor=k, marker=o"
matplotlib.pyplot.subplots,,"figsize=**, ncols=4, nrows=1"
matplotlib.pyplot.subplots,,"figsize=**, ncols=4, nrows=1"
matplotlib.pyplot.show,,
matplotlib.pyplot.show,,
matplotlib.pyplot,,
matplotlib.pyplot.subplots,"2, 1",
matplotlib.pyplot,,
matplotlib.pyplot.show,,
matplotlib.pyplot.suptitle,Decision surface of decision trees trained on pairs of features,
matplotlib.pyplot.legend,,"borderpad=0, handletextpad=0, loc=lower right"
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.figure,,
matplotlib.pyplot.title,Decision tree trained on all the iris features,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"2, 3, **",
matplotlib.pyplot.tight_layout,,"h_pad=0.5, pad=2.5, w_pad=0.5"
matplotlib.pyplot,"**, **","c=color, cmap=**, edgecolor=black, label=**, s=15"
matplotlib.pyplot.figure,,
matplotlib.pyplot.scatter,"**, **","c=navy, edgecolor=black, label=data, s=s"
matplotlib.pyplot.scatter,"**, **","c=cornflowerblue, edgecolor=black, label=max_depth=2, s=s"
matplotlib.pyplot.scatter,"**, **","c=red, edgecolor=black, label=max_depth=5, s=s"
matplotlib.pyplot.scatter,"**, **","c=orange, edgecolor=black, label=max_depth=8, s=s"
matplotlib.pyplot.xlim,**,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.xlabel,target 1,
