function,args,kwargs
sklearn.datasets.fetch_20newsgroups,,categories=categories
sklearn.cluster.SpectralCoclustering,,"n_clusters=**, random_state=0, svd_method=arpack"
sklearn.cluster.MiniBatchKMeans,,"batch_size=20000, n_clusters=**, n_init=3, random_state=0"
sklearn.feature_extraction.text.TfidfVectorizer.fit_transform,**,
sklearn.cluster._bicluster.BaseSpectral.fit,X,
sklearn.cluster._kmeans._BaseKMeans.fit_predict,X,
sklearn.feature_extraction.text.CountVectorizer.get_feature_names_out,,
sklearn.cluster._bicluster.SpectralCoclustering,i,
sklearn.cluster._bicluster.SpectralCoclustering,cluster,
sklearn.metrics.cluster.v_measure_score,"y_cocluster, y_true",
sklearn.metrics.cluster.v_measure_score,"y_kmeans, y_true",
sklearn.cluster.SpectralBiclustering,,"method=log, n_clusters=n_clusters, random_state=0"
sklearn.cluster._bicluster.BaseSpectral.fit,data,
sklearn.metrics.consensus_score,"**, **",
sklearn.cluster._bicluster.SpectralBiclustering._fit.row_labels_,**,
sklearn.cluster.SpectralCoclustering,,"n_clusters=5, random_state=0"
sklearn.cluster._bicluster.BaseSpectral.fit,data,
sklearn.metrics.consensus_score,"**, **",
sklearn.datasets.make_classification,,"n_clusters_per_class=1, n_features=2, n_informative=2, n_redundant=0, random_state=1"
sklearn.neighbors.KNeighborsClassifier,3,
sklearn.svm.SVC,,"C=0.025, kernel=linear"
sklearn.svm.SVC,,"C=1, gamma=2"
sklearn.gaussian_process.GaussianProcessClassifier,**,
sklearn.tree.DecisionTreeClassifier,,max_depth=5
sklearn.ensemble.RandomForestClassifier,,"max_depth=5, max_features=1, n_estimators=10"
sklearn.neural_network.MLPClassifier,,"alpha=1, max_iter=1000"
sklearn.ensemble.AdaBoostClassifier,,
sklearn.naive_bayes.GaussianNB,,
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,,
sklearn.datasets.make_moons,,"noise=0.3, random_state=0"
sklearn.datasets.make_circles,,"factor=0.5, noise=0.2, random_state=1"
sklearn.pipeline.make_pipeline,"**, clf",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","alpha=0.8, ax=ax, cmap=cm, eps=0.5"
sklearn.gaussian_process.GaussianProcessClassifier,1.0,
sklearn.pipeline.make_pipeline,,
